"iso3","location","year","inc","discretionary","processed","outside"
"ESP","Spain",2019,0,1.51192745592338,1.54419673846203,0.843875805614598
"EST","Estonia",2019,0,1.72388065325613,1.39830978080434,0.857809565939531
"FJI","Fiji",2019,0,1.99626417973031,0.797162713813744,0.756573106455942
"FRA","France",2019,0,1.17001974158397,1.80984925678275,0.830131001633287
"FSM","Micronesia, Fed. Sts.",2019,0,1.92068159152781,0.692765797531201,0.706552610940985
"GAB","Gabon",2019,0,1.83881167569161,0.788635680914216,0.712552643394175
"GBR","United Kingdom",2019,0,1.01298087062817,1.70774984561576,0.759269283756072
"GEO","Georgia",2019,0,2.4113991399311,0.909954021021081,0.898646839047814
"GHA","Ghana",2019,0,2.42526758165397,0.810941786618938,0.873790631727093
"GIN","Guinea",2019,0,1.63360192814545,0.516419812456602,0.579978259397946
